destination_name,country,continent,type,avg_cost_usd_day,best_season,avg_rating,annual_visitors_m,unesco_site,budget_level,culture,adventure,nature,beaches,nightlife,cuisine,wellness,urban,seclusion,climate_label
Lush Plaza,Australia,Oceania,Religious,154.09,Autumn,4.5,4.12,No,Premium,3.2941176470588234,3.9411764705882355,4.529411764705882,3.6470588235294117,2.588235294117647,3.5294117647058822,3.2941176470588234,2.588235294117647,3.5294117647058822,Warm
Golden Temple,India,Asia,Adventure,178.42,Winter,4.7,3.39,Yes,Premium,4.777777777777778,3.0,3.0,1.6666666666666667,2.888888888888889,4.333333333333333,3.0,3.3333333333333335,2.3333333333333335,Pleasant
Crystal Ruins,Argentina,South America,Beach,141.25,Spring,4.3,2.15,Yes,Mid-range,3.4,4.2,4.3,1.5,3.0,3.8,3.0,3.0,3.5,Cold
Ancient Park,India,Asia,Nature,98.17,Autumn,4.9,9.77,No,Mid-range,4.777777777777778,3.0,3.0,1.6666666666666667,2.888888888888889,4.333333333333333,3.0,3.3333333333333335,2.3333333333333335,Pleasant
Golden Pagoda,Greece,Europe,Historical,204.29,Spring,4.6,1.76,No,Premium,4.0,3.2,3.8,3.8,3.6,4.6,3.2,3.2,3.0,Warm
Serene Canyon,New Zealand,Oceania,City,273.24,Autumn,4.4,7.77,Yes,Premium,3.3333333333333335,4.0,4.555555555555555,2.7777777777777777,3.111111111111111,3.3333333333333335,3.4444444444444446,3.0,3.2222222222222223,Cold
Ancient Pagoda,Italy,Europe,Adventure,150.52,Spring,4.1,4.29,No,Premium,4.578947368421052,2.473684210526316,3.3684210526315788,2.210526315789474,3.0,4.631578947368421,3.1578947368421053,3.5789473684210527,2.8421052631578947,Warm
Hidden Park,Greece,Europe,City,131.41,Winter,4.2,1.15,No,Mid-range,4.0,3.2,3.8,3.8,3.6,4.6,3.2,3.2,3.0,Warm
Serene Temple,Morocco,Africa,Adventure,152.83,Winter,4.7,9.68,No,Premium,4.285714285714286,2.5714285714285716,3.0,2.0,2.857142857142857,4.142857142857143,3.142857142857143,3.2857142857142856,3.0,Pleasant
Sacred Ruins,Italy,Europe,Nature,59.88,Spring,4.3,5.31,No,Budget,4.578947368421052,2.473684210526316,3.3684210526315788,2.210526315789474,3.0,4.631578947368421,3.1578947368421053,3.5789473684210527,2.8421052631578947,Warm
Crystal Forest,Peru,South America,Religious,103.03,Spring,4.5,6.59,Yes,Mid-range,4.333333333333333,3.8333333333333335,4.166666666666667,1.1666666666666667,2.5,3.6666666666666665,2.5,2.5,3.3333333333333335,Cold
Grand Beach,Kenya,Africa,Beach,177.01,Winter,4.1,6.68,No,Premium,4.0,4.0,4.5,3.0,3.0,3.5,3.0,3.5,2.5,Warm
Mystic Temple,Brazil,South America,Religious,139.33,Winter,4.9,1.05,No,Mid-range,3.875,3.625,4.0,3.625,4.0,4.25,3.0,3.5,2.5,Warm
Grand Pagoda,Germany,Europe,Religious,121.82,Spring,4.4,1.65,No,Mid-range,4.2727272727272725,2.4545454545454546,3.1818181818181817,1.4545454545454546,3.6363636363636362,3.8181818181818183,3.0,4.0,2.5454545454545454,Warm
Grand Pagoda,Germany,Europe,Nature,119.33,Spring,4.4,7.08,No,Mid-range,4.2727272727272725,2.4545454545454546,3.1818181818181817,1.4545454545454546,3.6363636363636362,3.8181818181818183,3.0,4.0,2.5454545454545454,Warm
Crystal Falls,Spain,Europe,Religious,150.78,Summer,4.3,9.97,No,Premium,4.25,3.1666666666666665,3.4166666666666665,3.0,3.6666666666666665,4.416666666666667,3.1666666666666665,3.4166666666666665,2.75,Pleasant
Ancient Pagoda,India,Asia,Adventure,171.85,Spring,4.9,3.41,No,Premium,4.777777777777778,3.0,3.0,1.6666666666666667,2.888888888888889,4.333333333333333,3.0,3.3333333333333335,2.3333333333333335,Pleasant
Sacred Plaza,Morocco,Africa,Religious,174.98,Spring,5.0,4.55,No,Premium,4.285714285714286,2.5714285714285716,3.0,2.0,2.857142857142857,4.142857142857143,3.142857142857143,3.2857142857142856,3.0,Pleasant
Hidden Canyon,Canada,North America,Adventure,81.66,Winter,4.4,3.99,No,Mid-range,3.9285714285714284,3.5714285714285716,4.285714285714286,2.142857142857143,3.0,3.5,3.2857142857142856,3.2857142857142856,3.0714285714285716,Cold
Lush Falls,Peru,South America,Nature,210.39,Winter,4.4,7.47,No,Premium,4.333333333333333,3.8333333333333335,4.166666666666667,1.1666666666666667,2.5,3.6666666666666665,2.5,2.5,3.3333333333333335,Cold
Lush Beach,Kenya,Africa,Beach,121.17,Summer,3.7,0.68,Yes,Mid-range,4.0,4.0,4.5,3.0,3.0,3.5,3.0,3.5,2.5,Warm
Grand Temple,Greece,Europe,City,193.16,Autumn,4.3,1.8,No,Premium,4.0,3.2,3.8,3.8,3.6,4.6,3.2,3.2,3.0,Warm
Crystal Valley,Germany,Europe,Religious,76.05,Spring,4.6,0.62,Yes,Mid-range,4.2727272727272725,2.4545454545454546,3.1818181818181817,1.4545454545454546,3.6363636363636362,3.8181818181818183,3.0,4.0,2.5454545454545454,Warm
Mystic Beach,Morocco,Africa,Historical,100.29,Spring,4.5,5.71,Yes,Mid-range,4.285714285714286,2.5714285714285716,3.0,2.0,2.857142857142857,4.142857142857143,3.142857142857143,3.2857142857142856,3.0,Pleasant
Serene Plaza,China,Asia,Religious,209.83,Spring,4.5,1.43,No,Premium,4.333333333333333,3.2222222222222223,3.5555555555555554,1.2222222222222223,3.111111111111111,3.888888888888889,3.0,3.5555555555555554,2.888888888888889,Warm
Lush Valley,Morocco,Africa,Beach,90.35,Summer,4.5,3.58,Yes,Mid-range,4.285714285714286,2.5714285714285716,3.0,2.0,2.857142857142857,4.142857142857143,3.142857142857143,3.2857142857142856,3.0,Pleasant
Lush Beach,Germany,Europe,Nature,141.35,Winter,5.0,4.07,No,Mid-range,4.2727272727272725,2.4545454545454546,3.1818181818181817,1.4545454545454546,3.6363636363636362,3.8181818181818183,3.0,4.0,2.5454545454545454,Warm
Grand Ruins,France,Europe,Religious,106.26,Spring,3.8,7.96,No,Mid-range,4.266666666666667,2.466666666666667,3.2,2.0,3.1333333333333333,4.2,3.066666666666667,3.466666666666667,2.933333333333333,Pleasant
Ancient Valley,Vietnam,Asia,Beach,116.55,Winter,4.8,7.04,No,Mid-range,4.142857142857143,3.4285714285714284,3.7142857142857144,1.8571428571428572,2.4285714285714284,4.285714285714286,3.142857142857143,3.0,3.4285714285714284,Cold
Mystic Ruins,Peru,South America,Historical,70.04,Spring,4.4,8.49,Yes,Mid-range,4.333333333333333,3.8333333333333335,4.166666666666667,1.1666666666666667,2.5,3.6666666666666665,2.5,2.5,3.3333333333333335,Cold
Mystic Pagoda,Spain,Europe,Nature,257.87,Summer,4.3,6.76,No,Premium,4.25,3.1666666666666665,3.4166666666666665,3.0,3.6666666666666665,4.416666666666667,3.1666666666666665,3.4166666666666665,2.75,Pleasant
Mystic Plaza,Japan,Asia,Religious,163.83,Winter,4.7,6.33,No,Premium,4.5,2.2,3.3,1.6,3.1,4.4,3.0,3.6,2.8,Warm
Ancient Valley,Egypt,Africa,Religious,151.6,Autumn,4.3,1.93,No,Premium,4.428571428571429,3.0,3.5714285714285716,2.142857142857143,2.4285714285714284,3.7142857142857144,2.857142857142857,2.857142857142857,3.0,Cold
Grand Falls,Germany,Europe,Beach,154.43,Autumn,5.0,6.96,No,Premium,4.2727272727272725,2.4545454545454546,3.1818181818181817,1.4545454545454546,3.6363636363636362,3.8181818181818183,3.0,4.0,2.5454545454545454,Warm
Serene Forest,Germany,Europe,City,131.73,Spring,4.6,1.18,No,Mid-range,4.2727272727272725,2.4545454545454546,3.1818181818181817,1.4545454545454546,3.6363636363636362,3.8181818181818183,3.0,4.0,2.5454545454545454,Warm
Golden Canyon,Egypt,Africa,Nature,109.88,Spring,4.9,3.32,No,Mid-range,4.428571428571429,3.0,3.5714285714285716,2.142857142857143,2.4285714285714284,3.7142857142857144,2.857142857142857,2.857142857142857,3.0,Cold
Crystal Beach,Canada,North America,Nature,210.02,Winter,4.3,6.78,No,Premium,3.9285714285714284,3.5714285714285716,4.285714285714286,2.142857142857143,3.0,3.5,3.2857142857142856,3.2857142857142856,3.0714285714285716,Cold
Lush Park,Mexico,North America,Adventure,127.43,Autumn,4.4,1.43,Yes,Mid-range,3.933333333333333,3.466666666666667,3.533333333333333,2.8666666666666667,3.6666666666666665,4.333333333333333,3.4,3.2,2.6666666666666665,Cold
Hidden Ruins,Spain,Europe,Nature,209.29,Summer,4.7,3.02,No,Premium,4.25,3.1666666666666665,3.4166666666666665,3.0,3.6666666666666665,4.416666666666667,3.1666666666666665,3.4166666666666665,2.75,Pleasant
Mystic Pagoda,China,Asia,Nature,180.36,Autumn,4.9,4.13,No,Premium,4.333333333333333,3.2222222222222223,3.5555555555555554,1.2222222222222223,3.111111111111111,3.888888888888889,3.0,3.5555555555555554,2.888888888888889,Warm
Serene Beach,Spain,Europe,Beach,133.87,Summer,4.4,6.34,Yes,Mid-range,4.25,3.1666666666666665,3.4166666666666665,3.0,3.6666666666666665,4.416666666666667,3.1666666666666665,3.4166666666666665,2.75,Pleasant
Sacred Plaza,Italy,Europe,Adventure,182.08,Spring,4.9,5.54,No,Premium,4.578947368421052,2.473684210526316,3.3684210526315788,2.210526315789474,3.0,4.631578947368421,3.1578947368421053,3.5789473684210527,2.8421052631578947,Warm
Sacred Forest,Thailand,Asia,Religious,117.82,Autumn,4.8,9.81,Yes,Mid-range,4.0,3.6,3.8,2.8,3.2,4.4,3.8,2.8,3.4,Cold
Ancient Forest,Egypt,Africa,City,222.78,Spring,5.0,7.61,Yes,Premium,4.428571428571429,3.0,3.5714285714285716,2.142857142857143,2.4285714285714284,3.7142857142857144,2.857142857142857,2.857142857142857,3.0,Cold
Ancient Canyon,Canada,North America,City,176.91,Spring,4.8,1.72,No,Premium,3.9285714285714284,3.5714285714285716,4.285714285714286,2.142857142857143,3.0,3.5,3.2857142857142856,3.2857142857142856,3.0714285714285716,Cold
Ancient Plaza,Thailand,Asia,Religious,177.84,Winter,4.4,2.63,Yes,Premium,4.0,3.6,3.8,2.8,3.2,4.4,3.8,2.8,3.4,Cold
Mystic Valley,Greece,Europe,Adventure,97.76,Summer,3.9,4.67,No,Mid-range,4.0,3.2,3.8,3.8,3.6,4.6,3.2,3.2,3.0,Warm
Mystic Pagoda,France,Europe,Religious,178.97,Winter,4.5,2.79,No,Premium,4.266666666666667,2.466666666666667,3.2,2.0,3.1333333333333333,4.2,3.066666666666667,3.466666666666667,2.933333333333333,Pleasant
Mystic Canyon,Japan,Asia,Nature,138.94,Spring,4.4,8.93,Yes,Mid-range,4.5,2.2,3.3,1.6,3.1,4.4,3.0,3.6,2.8,Warm
Crystal Forest,Greece,Europe,Beach,82.97,Spring,4.8,8.25,No,Mid-range,4.0,3.2,3.8,3.8,3.6,4.6,3.2,3.2,3.0,Warm
Sacred Falls,Spain,Europe,Historical,141.64,Summer,4.6,7.67,No,Mid-range,4.25,3.1666666666666665,3.4166666666666665,3.0,3.6666666666666665,4.416666666666667,3.1666666666666665,3.4166666666666665,2.75,Pleasant
Crystal Valley,Italy,Europe,Adventure,210.69,Winter,4.5,7.42,No,Premium,4.578947368421052,2.473684210526316,3.3684210526315788,2.210526315789474,3.0,4.631578947368421,3.1578947368421053,3.5789473684210527,2.8421052631578947,Warm
Sacred Beach,South Africa,Africa,Religious,183.14,Summer,4.9,2.19,Yes,Premium,3.75,3.5,4.0,2.75,3.5,4.0,3.0,4.0,2.25,Warm
Hidden Plaza,Italy,Europe,Beach,166.31,Winter,4.5,9.41,Yes,Premium,4.578947368421052,2.473684210526316,3.3684210526315788,2.210526315789474,3.0,4.631578947368421,3.1578947368421053,3.5789473684210527,2.8421052631578947,Warm
Grand Temple,Germany,Europe,City,169.98,Summer,4.3,8.27,No,Premium,4.2727272727272725,2.4545454545454546,3.1818181818181817,1.4545454545454546,3.6363636363636362,3.8181818181818183,3.0,4.0,2.5454545454545454,Warm
Hidden Canyon,Peru,South America,City,151.52,Autumn,4.1,8.49,No,Premium,4.333333333333333,3.8333333333333335,4.166666666666667,1.1666666666666667,2.5,3.6666666666666665,2.5,2.5,3.3333333333333335,Cold
Golden Ruins,Spain,Europe,Nature,165.44,Spring,5.0,6.11,Yes,Premium,4.25,3.1666666666666665,3.4166666666666665,3.0,3.6666666666666665,4.416666666666667,3.1666666666666665,3.4166666666666665,2.75,Pleasant
Ancient Pagoda,Mexico,North America,Nature,55.04,Summer,4.5,5.87,No,Budget,3.933333333333333,3.466666666666667,3.533333333333333,2.8666666666666667,3.6666666666666665,4.333333333333333,3.4,3.2,2.6666666666666665,Cold
Lush Beach,Argentina,South America,Historical,187.67,Spring,4.6,6.54,Yes,Premium,3.4,4.2,4.3,1.5,3.0,3.8,3.0,3.0,3.5,Cold
Crystal Park,Japan,Asia,City,118.88,Spring,4.6,4.88,No,Mid-range,4.5,2.2,3.3,1.6,3.1,4.4,3.0,3.6,2.8,Warm
Lush Temple,Mexico,North America,Adventure,139.55,Spring,4.2,8.1,No,Mid-range,3.933333333333333,3.466666666666667,3.533333333333333,2.8666666666666667,3.6666666666666665,4.333333333333333,3.4,3.2,2.6666666666666665,Cold
Grand Beach,New Zealand,Oceania,City,163.03,Winter,4.1,7.46,Yes,Premium,3.3333333333333335,4.0,4.555555555555555,2.7777777777777777,3.111111111111111,3.3333333333333335,3.4444444444444446,3.0,3.2222222222222223,Cold
Golden Falls,Mexico,North America,Nature,90.21,Spring,4.6,3.88,No,Mid-range,3.933333333333333,3.466666666666667,3.533333333333333,2.8666666666666667,3.6666666666666665,4.333333333333333,3.4,3.2,2.6666666666666665,Cold
Crystal Valley,France,Europe,Religious,163.9,Autumn,4.9,0.55,No,Premium,4.266666666666667,2.466666666666667,3.2,2.0,3.1333333333333333,4.2,3.066666666666667,3.466666666666667,2.933333333333333,Pleasant
Golden Ruins,Canada,North America,Nature,110.76,Winter,4.7,9.6,No,Mid-range,3.9285714285714284,3.5714285714285716,4.285714285714286,2.142857142857143,3.0,3.5,3.2857142857142856,3.2857142857142856,3.0714285714285716,Cold
Sacred Plaza,Brazil,South America,Beach,77.51,Summer,4.2,1.91,No,Mid-range,3.875,3.625,4.0,3.625,4.0,4.25,3.0,3.5,2.5,Warm
Sacred Ruins,Japan,Asia,Adventure,186.12,Summer,4.4,9.97,No,Premium,4.5,2.2,3.3,1.6,3.1,4.4,3.0,3.6,2.8,Warm
Golden Plaza,Morocco,Africa,Adventure,109.14,Summer,3.9,7.36,No,Mid-range,4.285714285714286,2.5714285714285716,3.0,2.0,2.857142857142857,4.142857142857143,3.142857142857143,3.2857142857142856,3.0,Pleasant
Hidden Plaza,Kenya,Africa,City,161.23,Winter,4.8,4.22,Yes,Premium,4.0,4.0,4.5,3.0,3.0,3.5,3.0,3.5,2.5,Warm
Ancient Temple,Peru,South America,Historical,234.05,Autumn,4.3,0.53,Yes,Premium,4.333333333333333,3.8333333333333335,4.166666666666667,1.1666666666666667,2.5,3.6666666666666665,2.5,2.5,3.3333333333333335,Cold
Mystic Pagoda,Germany,Europe,Nature,73.72,Summer,4.9,8.04,Yes,Mid-range,4.2727272727272725,2.4545454545454546,3.1818181818181817,1.4545454545454546,3.6363636363636362,3.8181818181818183,3.0,4.0,2.5454545454545454,Warm
Hidden Temple,India,Asia,Historical,159.06,Autumn,4.2,5.07,Yes,Premium,4.777777777777778,3.0,3.0,1.6666666666666667,2.888888888888889,4.333333333333333,3.0,3.3333333333333335,2.3333333333333335,Pleasant
Ancient Valley,India,Asia,Historical,121.79,Autumn,4.6,6.01,Yes,Mid-range,4.777777777777778,3.0,3.0,1.6666666666666667,2.888888888888889,4.333333333333333,3.0,3.3333333333333335,2.3333333333333335,Pleasant
Golden Temple,USA,North America,Religious,243.07,Spring,5.0,6.23,No,Premium,4.084714165503293,3.2801098212388133,3.7489909779763613,2.33892642417113,3.117380553583651,4.038431451973767,3.119507328644805,3.2649765443172725,2.934566021440665,Pleasant
Hidden Plaza,Peru,South America,City,201.2,Summer,4.7,3.06,No,Premium,4.333333333333333,3.8333333333333335,4.166666666666667,1.1666666666666667,2.5,3.6666666666666665,2.5,2.5,3.3333333333333335,Cold
Mystic Beach,Australia,Oceania,Beach,149.65,Spring,4.9,1.23,Yes,Mid-range,3.2941176470588234,3.9411764705882355,4.529411764705882,3.6470588235294117,2.588235294117647,3.5294117647058822,3.2941176470588234,2.588235294117647,3.5294117647058822,Warm
Ancient Ruins,China,Asia,Adventure,141.49,Winter,4.4,7.96,Yes,Mid-range,4.333333333333333,3.2222222222222223,3.5555555555555554,1.2222222222222223,3.111111111111111,3.888888888888889,3.0,3.5555555555555554,2.888888888888889,Warm
Serene Ruins,Greece,Europe,Beach,197.39,Summer,4.7,5.41,No,Premium,4.0,3.2,3.8,3.8,3.6,4.6,3.2,3.2,3.0,Warm
Ancient Park,Canada,North America,Adventure,92.92,Spring,4.4,3.62,No,Mid-range,3.9285714285714284,3.5714285714285716,4.285714285714286,2.142857142857143,3.0,3.5,3.2857142857142856,3.2857142857142856,3.0714285714285716,Cold
Ancient Temple,South Africa,Africa,Historical,107.84,Summer,4.5,2.6,Yes,Mid-range,3.75,3.5,4.0,2.75,3.5,4.0,3.0,4.0,2.25,Warm
Hidden Valley,Morocco,Africa,Adventure,225.67,Winter,4.7,9.98,Yes,Premium,4.285714285714286,2.5714285714285716,3.0,2.0,2.857142857142857,4.142857142857143,3.142857142857143,3.2857142857142856,3.0,Pleasant
Grand Plaza,Italy,Europe,Adventure,159.49,Summer,4.7,4.5,Yes,Premium,4.578947368421052,2.473684210526316,3.3684210526315788,2.210526315789474,3.0,4.631578947368421,3.1578947368421053,3.5789473684210527,2.8421052631578947,Warm
Mystic Falls,Vietnam,Asia,Beach,211.05,Autumn,4.7,1.62,No,Premium,4.142857142857143,3.4285714285714284,3.7142857142857144,1.8571428571428572,2.4285714285714284,4.285714285714286,3.142857142857143,3.0,3.4285714285714284,Cold
Mystic Beach,Canada,North America,City,207.37,Spring,4.4,4.15,Yes,Premium,3.9285714285714284,3.5714285714285716,4.285714285714286,2.142857142857143,3.0,3.5,3.2857142857142856,3.2857142857142856,3.0714285714285716,Cold
Lush Plaza,Egypt,Africa,Nature,244.23,Winter,5.0,2.25,No,Premium,4.428571428571429,3.0,3.5714285714285716,2.142857142857143,2.4285714285714284,3.7142857142857144,2.857142857142857,2.857142857142857,3.0,Cold
Grand Ruins,New Zealand,Oceania,Adventure,79.46,Summer,4.1,0.75,Yes,Mid-range,3.3333333333333335,4.0,4.555555555555555,2.7777777777777777,3.111111111111111,3.3333333333333335,3.4444444444444446,3.0,3.2222222222222223,Cold
Sacred Beach,Thailand,Asia,City,157.04,Winter,4.0,3.34,No,Premium,4.0,3.6,3.8,2.8,3.2,4.4,3.8,2.8,3.4,Cold
Lush Falls,China,Asia,Religious,201.65,Spring,4.4,8.5,No,Premium,4.333333333333333,3.2222222222222223,3.5555555555555554,1.2222222222222223,3.111111111111111,3.888888888888889,3.0,3.5555555555555554,2.888888888888889,Warm
Mystic Beach,South Africa,Africa,Nature,175.68,Spring,4.3,4.85,No,Premium,3.75,3.5,4.0,2.75,3.5,4.0,3.0,4.0,2.25,Warm
Crystal Beach,Peru,South America,Nature,94.43,Winter,4.5,1.27,Yes,Mid-range,4.333333333333333,3.8333333333333335,4.166666666666667,1.1666666666666667,2.5,3.6666666666666665,2.5,2.5,3.3333333333333335,Cold
Serene Ruins,Vietnam,Asia,Nature,148.62,Spring,5.0,4.65,No,Mid-range,4.142857142857143,3.4285714285714284,3.7142857142857144,1.8571428571428572,2.4285714285714284,4.285714285714286,3.142857142857143,3.0,3.4285714285714284,Cold
Golden Temple,Greece,Europe,City,195.01,Winter,4.7,2.01,Yes,Premium,4.0,3.2,3.8,3.8,3.6,4.6,3.2,3.2,3.0,Warm
Mystic Ruins,South Africa,Africa,Adventure,100.08,Spring,4.6,7.64,No,Mid-range,3.75,3.5,4.0,2.75,3.5,4.0,3.0,4.0,2.25,Warm
Hidden Park,Mexico,North America,Nature,167.67,Spring,4.5,1.16,No,Premium,3.933333333333333,3.466666666666667,3.533333333333333,2.8666666666666667,3.6666666666666665,4.333333333333333,3.4,3.2,2.6666666666666665,Cold
Mystic Park,France,Europe,Religious,144.99,Spring,4.4,2.99,No,Mid-range,4.266666666666667,2.466666666666667,3.2,2.0,3.1333333333333333,4.2,3.066666666666667,3.466666666666667,2.933333333333333,Pleasant
Golden Valley,Canada,North America,Adventure,167.75,Spring,4.4,2.87,Yes,Premium,3.9285714285714284,3.5714285714285716,4.285714285714286,2.142857142857143,3.0,3.5,3.2857142857142856,3.2857142857142856,3.0714285714285716,Cold
Lush Beach,Italy,Europe,City,195.68,Winter,4.3,4.77,Yes,Premium,4.578947368421052,2.473684210526316,3.3684210526315788,2.210526315789474,3.0,4.631578947368421,3.1578947368421053,3.5789473684210527,2.8421052631578947,Warm
Hidden Ruins,Peru,South America,Nature,123.7,Winter,4.5,1.1,No,Mid-range,4.333333333333333,3.8333333333333335,4.166666666666667,1.1666666666666667,2.5,3.6666666666666665,2.5,2.5,3.3333333333333335,Cold
Mystic Valley,Peru,South America,Beach,30.0,Summer,4.8,3.8,Yes,Budget,4.333333333333333,3.8333333333333335,4.166666666666667,1.1666666666666667,2.5,3.6666666666666665,2.5,2.5,3.3333333333333335,Cold
Grand Park,Australia,Oceania,Historical,162.35,Summer,4.5,5.82,No,Premium,3.2941176470588234,3.9411764705882355,4.529411764705882,3.6470588235294117,2.588235294117647,3.5294117647058822,3.2941176470588234,2.588235294117647,3.5294117647058822,Warm
Mystic Plaza,Greece,Europe,Historical,71.87,Spring,4.3,7.44,No,Mid-range,4.0,3.2,3.8,3.8,3.6,4.6,3.2,3.2,3.0,Warm
Sacred Park,Morocco,Africa,Adventure,94.48,Spring,4.7,5.87,Yes,Mid-range,4.285714285714286,2.5714285714285716,3.0,2.0,2.857142857142857,4.142857142857143,3.142857142857143,3.2857142857142856,3.0,Pleasant
Crystal Ruins,Japan,Asia,City,173.32,Winter,4.5,6.28,No,Premium,4.5,2.2,3.3,1.6,3.1,4.4,3.0,3.6,2.8,Warm
Grand Park,USA,North America,Religious,109.58,Summer,4.4,1.94,No,Mid-range,4.084714165503293,3.2801098212388133,3.7489909779763613,2.33892642417113,3.117380553583651,4.038431451973767,3.119507328644805,3.2649765443172725,2.934566021440665,Pleasant
Serene Park,Italy,Europe,City,113.27,Spring,4.3,8.58,No,Mid-range,4.578947368421052,2.473684210526316,3.3684210526315788,2.210526315789474,3.0,4.631578947368421,3.1578947368421053,3.5789473684210527,2.8421052631578947,Warm
Ancient Temple,Greece,Europe,Adventure,200.88,Winter,5.0,1.59,No,Premium,4.0,3.2,3.8,3.8,3.6,4.6,3.2,3.2,3.0,Warm
Ancient Falls,Japan,Asia,Historical,171.44,Winter,4.7,1.14,No,Premium,4.5,2.2,3.3,1.6,3.1,4.4,3.0,3.6,2.8,Warm
Ancient Falls,India,Asia,Beach,168.97,Spring,5.0,1.28,Yes,Premium,4.777777777777778,3.0,3.0,1.6666666666666667,2.888888888888889,4.333333333333333,3.0,3.3333333333333335,2.3333333333333335,Pleasant
Lush Plaza,Brazil,South America,Beach,96.39,Summer,3.6,2.07,Yes,Mid-range,3.875,3.625,4.0,3.625,4.0,4.25,3.0,3.5,2.5,Warm
Hidden Forest,USA,North America,Adventure,127.58,Autumn,5.0,4.41,No,Mid-range,4.084714165503293,3.2801098212388133,3.7489909779763613,2.33892642417113,3.117380553583651,4.038431451973767,3.119507328644805,3.2649765443172725,2.934566021440665,Pleasant
Serene Ruins,China,Asia,Beach,180.96,Autumn,5.0,1.09,No,Premium,4.333333333333333,3.2222222222222223,3.5555555555555554,1.2222222222222223,3.111111111111111,3.888888888888889,3.0,3.5555555555555554,2.888888888888889,Warm
Hidden Canyon,India,Asia,Beach,219.86,Summer,4.5,4.86,Yes,Premium,4.777777777777778,3.0,3.0,1.6666666666666667,2.888888888888889,4.333333333333333,3.0,3.3333333333333335,2.3333333333333335,Pleasant
Grand Ruins,Greece,Europe,Beach,117.7,Spring,4.3,2.06,Yes,Mid-range,4.0,3.2,3.8,3.8,3.6,4.6,3.2,3.2,3.0,Warm
Lush Beach,Spain,Europe,Nature,208.1,Summer,4.3,5.43,No,Premium,4.25,3.1666666666666665,3.4166666666666665,3.0,3.6666666666666665,4.416666666666667,3.1666666666666665,3.4166666666666665,2.75,Pleasant
Grand Ruins,Thailand,Asia,Religious,166.15,Winter,4.4,8.86,No,Premium,4.0,3.6,3.8,2.8,3.2,4.4,3.8,2.8,3.4,Cold
Serene Plaza,Italy,Europe,Beach,131.98,Spring,4.7,4.79,Yes,Mid-range,4.578947368421052,2.473684210526316,3.3684210526315788,2.210526315789474,3.0,4.631578947368421,3.1578947368421053,3.5789473684210527,2.8421052631578947,Warm
Crystal Temple,New Zealand,Oceania,Religious,194.16,Spring,4.5,5.62,No,Premium,3.3333333333333335,4.0,4.555555555555555,2.7777777777777777,3.111111111111111,3.3333333333333335,3.4444444444444446,3.0,3.2222222222222223,Cold
Lush Ruins,Greece,Europe,Beach,101.33,Autumn,4.5,6.74,No,Mid-range,4.0,3.2,3.8,3.8,3.6,4.6,3.2,3.2,3.0,Warm
Crystal Park,Italy,Europe,Historical,128.68,Summer,4.8,7.87,No,Mid-range,4.578947368421052,2.473684210526316,3.3684210526315788,2.210526315789474,3.0,4.631578947368421,3.1578947368421053,3.5789473684210527,2.8421052631578947,Warm
Mystic Canyon,Vietnam,Asia,City,58.46,Summer,4.6,8.03,Yes,Budget,4.142857142857143,3.4285714285714284,3.7142857142857144,1.8571428571428572,2.4285714285714284,4.285714285714286,3.142857142857143,3.0,3.4285714285714284,Cold
Grand Pagoda,Spain,Europe,Adventure,243.66,Summer,4.8,8.08,No,Premium,4.25,3.1666666666666665,3.4166666666666665,3.0,3.6666666666666665,4.416666666666667,3.1666666666666665,3.4166666666666665,2.75,Pleasant
Sacred Plaza,Vietnam,Asia,Religious,188.27,Spring,4.4,5.56,Yes,Premium,4.142857142857143,3.4285714285714284,3.7142857142857144,1.8571428571428572,2.4285714285714284,4.285714285714286,3.142857142857143,3.0,3.4285714285714284,Cold
Lush Beach,USA,North America,Historical,174.24,Autumn,4.2,8.04,No,Premium,4.084714165503293,3.2801098212388133,3.7489909779763613,2.33892642417113,3.117380553583651,4.038431451973767,3.119507328644805,3.2649765443172725,2.934566021440665,Pleasant
Crystal Park,Brazil,South America,Adventure,191.69,Autumn,4.4,9.11,Yes,Premium,3.875,3.625,4.0,3.625,4.0,4.25,3.0,3.5,2.5,Warm
Hidden Forest,Italy,Europe,City,133.26,Summer,4.4,2.25,Yes,Mid-range,4.578947368421052,2.473684210526316,3.3684210526315788,2.210526315789474,3.0,4.631578947368421,3.1578947368421053,3.5789473684210527,2.8421052631578947,Warm
Grand Forest,Thailand,Asia,Nature,164.9,Winter,4.7,1.94,No,Premium,4.0,3.6,3.8,2.8,3.2,4.4,3.8,2.8,3.4,Cold
Serene Pagoda,Thailand,Asia,Nature,253.13,Autumn,4.2,1.29,No,Premium,4.0,3.6,3.8,2.8,3.2,4.4,3.8,2.8,3.4,Cold
Golden Forest,Argentina,South America,Beach,159.58,Autumn,4.6,5.3,No,Premium,3.4,4.2,4.3,1.5,3.0,3.8,3.0,3.0,3.5,Cold
Lush Ruins,South Africa,Africa,Nature,146.02,Winter,4.6,9.85,Yes,Mid-range,3.75,3.5,4.0,2.75,3.5,4.0,3.0,4.0,2.25,Warm
Grand Valley,USA,North America,City,207.44,Winter,4.9,2.08,Yes,Premium,4.084714165503293,3.2801098212388133,3.7489909779763613,2.33892642417113,3.117380553583651,4.038431451973767,3.119507328644805,3.2649765443172725,2.934566021440665,Pleasant
